"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2025-12-07 16:00:00",0.418033333333333,1.37386666666667,"1b","1b"
"2025-12-07 17:00:00",0.366516666666667,0.865183333333333,"1b","1b"
"2025-12-07 18:00:00",0.386933333333333,1.057,"1b","1b"
"2025-12-07 19:00:00",0.7751,3.457,"1b","1b"
"2025-12-07 20:00:00",0.448533333333333,3.87185,"1b","1b"
"2025-12-07 21:00:00",0.754233333333333,6.06863333333333,"1b","1b"
"2025-12-07 22:00:00",0.333033333333333,2.32308333333333,"1b","1b"
"2025-12-07 23:00:00",0.334016666666667,2.3768,"1b","1b"
"2025-12-08 00:00:00",0.33245,1.45835,"1b","1b"
"2025-12-08 01:00:00",0.436366666666667,2.48105,"1b","1b"
"2025-12-08 02:00:00",0.357883333333333,2.3727,"1b","1b"
"2025-12-08 03:00:00",0.60725,2.00093333333333,"1b","1b"
"2025-12-08 04:00:00",0.551433333333333,1.87213333333333,"1b","1b"
"2025-12-08 05:00:00",0.435016666666667,1.27458333333333,"1b","1b"
"2025-12-08 06:00:00",1.68248333333333,4.58895,"1b","1b"
"2025-12-08 07:00:00",1.09101666666667,4.50823333333333,"1b","1b"
"2025-12-08 08:00:00",1.24281666666667,6.1121,"1b","1b"
"2025-12-08 09:00:00",1.17515,5.99043333333333,"1b","1b"
"2025-12-08 10:00:00",NA,NA,"0b","0b"
"2025-12-08 11:00:00",NA,NA,"0b","0b"
"2025-12-08 12:00:00",NA,NA,"0b","0b"
"2025-12-08 13:00:00",NA,NA,"0b","0b"
"2025-12-08 14:00:00",1.38911666666667,7.7187,"1b","1b"
"2025-12-08 15:00:00",1.59681666666667,8.49155,"1b","1b"
"2025-12-08 16:00:00",1.33088333333333,7.79001666666667,"1b","1b"
"2025-12-08 17:00:00",1.26105,8.60456666666667,"1b","1b"
"2025-12-08 18:00:00",1.22693333333333,8.70053333333333,"1b","1b"
"2025-12-08 19:00:00",0.468783333333333,5.972,"1b","1b"
"2025-12-08 20:00:00",0.3727,6.39705,"1b","1b"
"2025-12-08 21:00:00",0.491716666666667,6.40071666666667,"1b","1b"
"2025-12-08 22:00:00",0.318483333333333,3.23926666666667,"1b","1b"
"2025-12-08 23:00:00",0.158116666666667,1.41561666666667,"1b","1b"
"2025-12-09 00:00:00",0.29265,0.921616666666667,"1b","1b"
"2025-12-09 01:00:00",0.271783333333333,0.645066666666667,"1b","1b"
"2025-12-09 02:00:00",0.334633333333333,0.404783333333333,"1b","1b"
"2025-12-09 03:00:00",0.31305,0.111366666666667,"1b","1b"
"2025-12-09 04:00:00",0.332566666666667,0.10525,"1b","1b"
"2025-12-09 05:00:00",0.390516666666667,0.430783333333333,"1b","1b"
"2025-12-09 06:00:00",1.20591666666667,2.23868333333333,"1b","1b"
"2025-12-09 07:00:00",0.8219,2.01001666666667,"1b","1b"
"2025-12-09 08:00:00",0.894083333333333,2.61955,"1b","1b"
"2025-12-09 09:00:00",0.9049,2.81251666666667,"1b","1b"
"2025-12-09 10:00:00",0.838433333333333,2.59348333333333,"1b","1b"
"2025-12-09 11:00:00",0.94255,2.61903333333333,"1b","1b"
"2025-12-09 12:00:00",0.922916666666667,2.5367,"1b","1b"
