"date (UTC+0)","RH (%)","Temperature (C)","Station Level Pressure (hPa)","MSLP (hPa)","Flag"
2026-05-14 04:00:00,95.3898585333333,6.57784328333333,986.5199129,1004.39606694095,NA
2026-05-14 05:00:00,94.1384087666667,6.85103155,986.725966533333,1004.58825221667,NA
2026-05-14 06:00:00,87.9267557166667,7.7279437,986.948946083333,1004.75899940097,NA
2026-05-14 07:00:00,79.34961395,8.91333571666667,987.085854983333,1004.82291005044,NA
2026-05-14 08:00:00,72.1780691333333,9.9166183,987.128218433333,1004.80278463461,NA
2026-05-14 09:00:00,63.3860276666667,10.9729709666667,986.965896583333,1004.57109643134,NA
2026-05-14 10:00:00,59.8990036666667,11.7493257,986.81799105,1004.37235792519,NA
2026-05-14 11:00:00,52.4151721666667,13.2191927,986.497265666667,1003.95480868772,NA
2026-05-14 12:00:00,57.2522955,12.5757002333333,986.393320666667,1003.88881811441,NA
2026-05-14 13:00:00,70.9853666333333,10.2644396333333,986.562727733333,1004.20528154862,NA
2026-05-14 14:00:00,73.81967405,10.1425495833333,986.387810183333,1004.03484956643,NA
2026-05-14 15:00:00,65.97499515,12.50767775,986.114684983333,1003.60952402044,NA
2026-05-14 16:00:00,68.6874041166667,10.8997825666667,986.23076685,1003.82778318018,NA
2026-05-14 17:00:00,78.94499805,8.72629833333333,986.849589116667,1004.59420790393,NA
2026-05-14 18:00:00,76.98310225,8.64939528333333,987.110122766667,1004.86430754253,NA
2026-05-14 19:00:00,78.8547269666667,7.5528789,987.635520366667,1005.46922101838,NA
2026-05-14 20:00:00,81.1297756666667,6.77252303333333,988.042118333333,1005.93329157541,NA
2026-05-14 21:00:00,85.4481386666667,6.42493946666667,988.77701,1006.70395312215,NA
2026-05-14 22:00:00,88.4825084833333,6.06628958333333,989.324862733333,1007.28498927666,NA
2026-05-14 23:00:00,88.195226,5.693446,989.751833133333,1007.74394833266,NA
2026-05-15,86.5875631333333,5.66189016666667,989.984892033333,1007.98329787544,NA
2026-05-15 01:00:00,89.1222112166667,5.40440296666667,990.201689483333,1008.22082910838,NA
2026-05-15 02:00:00,90.7982740166667,5.57117123333333,990.390113183333,1008.40179898364,NA
2026-05-15 03:00:00,90.65835505,5.51293541666667,990.597961266667,1008.61722728611,NA
2026-05-15 04:00:00,89.5272214,5.7407203,990.7284679,1008.73525493718,NA
2026-05-15 05:00:00,89.17417715,6.10813551666667,990.94894515,1008.93583282565,NA
2026-05-15 06:00:00,92.4832499333333,6.03919666666667,991.3713319,1009.37037568373,NA
2026-05-15 07:00:00,93.1786922333333,6.94180986666667,991.467032866667,1009.40931952644,NA
2026-05-15 08:00:00,83.1975988666667,9.46873603333333,991.7614442,1009.54714176835,NA
2026-05-15 09:00:00,72.9713444,9.87494725,991.825990716667,1009.5870732029,NA
2026-05-15 10:00:00,60.1642309166667,11.7156745166667,991.927435366667,1009.57458308338,NA
2026-05-15 11:00:00,54.0903224666667,12.5803275666667,991.99496475,1009.58942467442,NA
2026-05-15 12:00:00,50.4121423,13.0990828,991.987182516667,1009.54932169985,NA
2026-05-15 13:00:00,47.2593832833333,13.60270755,991.905451466667,1009.43511302135,NA
2026-05-15 14:00:00,44.6412579166667,13.5930505666667,991.9681854,1009.49948375754,NA
2026-05-15 15:00:00,48.1912234,13.0177764166667,991.93865875,1009.50498341259,NA
2026-05-15 16:00:00,46.4641203666667,12.7779208166667,991.944133516667,1009.52541315195,NA
2026-05-15 17:00:00,46.795826,11.5843375333333,992.073248366667,1009.73117452213,NA
2026-05-15 18:00:00,50.6019662,10.3737623333333,992.168041966667,1009.9037376754,NA
2026-05-15 19:00:00,53.1293558,9.1643766,992.2495484,1010.06336120589,NA
2026-05-15 20:00:00,60.41756655,7.67991735,992.628201283333,1010.54386377905,NA
2026-05-15 21:00:00,68.7592909166667,6.30137418333333,992.728027316667,1010.73465500686,NA
2026-05-15 22:00:00,76.1415279166667,5.68868933333333,992.707428233333,1010.75358270578,NA
2026-05-15 23:00:00,78.1325006833333,5.62534656666667,992.526792433333,1010.57379811763,NA
2026-05-16,75.6613248333333,6.3012834,992.293489566667,1010.29222447813,NA
2026-05-16 01:00:00,78.1202246333333,5.61647656666667,992.104398466667,1010.14432967995,NA
2026-05-16 02:00:00,76.7869289333333,6.24555156666667,991.813643366667,1009.80730143796,NA
2026-05-16 03:00:00,78.4877799833333,6.65065061666667,991.6485911,1009.61296293663,NA
2026-05-16 04:00:00,83.1257886333333,6.14252453333333,991.568668666667,1009.56463192212,NA
2026-05-16 05:00:00,85.8661226,5.63911343333333,991.624544266667,1009.65425109576,NA
2026-05-16 06:00:00,78.9594521666667,7.40264043333333,991.551727233333,1009.46603465935,NA
2026-05-16 07:00:00,70.3568668833333,10.0184877333333,991.565002466667,1009.31234052397,NA
2026-05-16 08:00:00,70.3310309166667,10.2246678166667,991.567978033333,1009.30232203022,NA
2026-05-16 09:00:00,74.38931485,10.0582875833333,991.489013866667,1009.23245558222,NA
2026-05-16 10:00:00,79.3225734,10.0079281,991.535026066667,1009.28247252295,NA
2026-05-16 11:00:00,83.8132667333333,9.89112036666667,991.525880016667,1009.28056300404,NA
2026-05-16 12:00:00,76.5924971333333,11.1926764333333,991.229862533333,1008.89736525638,NA
2026-05-16 13:00:00,70.3248685666667,12.5435147666667,990.8772868,1008.45417682631,NA
2026-05-16 14:00:00,67.0957020666667,13.2032573333333,990.554945866667,1008.08527975622,NA
2026-05-16 15:00:00,72.4013370166667,12.9752797666667,990.301744516667,1007.84168041442,NA
2026-05-16 16:00:00,76.7010622881356,12.4083031016949,990.219555033898,1007.79317201872,NA
2026-05-16 17:00:00,83.2978482,11.6008324,990.150640833333,1007.77329131421,NA
2026-05-16 18:00:00,81.8681295333333,11.9317915,990.05767845,1007.65803618387,NA
2026-05-16 19:00:00,83.10922225,11.8574942666667,990.1011768,1007.70693916641,NA
2026-05-16 20:00:00,86.12309465,11.61375275,990.279754816667,1007.9038980795,NA
2026-05-16 21:00:00,90.3146112666667,10.949285,990.397198516667,1008.06502467467,NA
2026-05-16 22:00:00,93.2243052333333,10.2582137666667,990.546691933333,1008.26065546561,NA
2026-05-16 23:00:00,93.9984994,10.2228174666667,990.495422533333,1008.21069699209,NA
2026-05-17,94.1976370666667,9.7351597,990.513733033333,1008.26015841017,NA
2026-05-17 01:00:00,93.9982381,9.24434006666667,990.629583666667,1008.40919876118,NA
2026-05-17 02:00:00,94.4557740166667,8.58749015,990.744277816667,1008.56778543649,NA
2026-05-17 03:00:00,95.2200855666667,7.91720558333333,990.8889608,1008.7579552459,NA
2026-05-17 04:00:00,94.9369373333333,7.75679593333333,991.260757533333,1009.14675523768,NA
2026-05-17 05:00:00,91.5544716,8.39856766666667,991.8404267,1009.69576926275,NA
2026-05-17 06:00:00,83.4819640833333,10.1120360166667,992.377980666667,1010.13397056901,NA
2026-05-17 07:00:00,77.8878497,10.8686323333333,992.78182675,1010.49730512261,NA
2026-05-17 08:00:00,70.84478055,11.6368618,993.083571483333,1010.75616467717,NA
2026-05-17 09:00:00,64.9911449,12.44282745,993.355999833333,1010.98314037842,NA
2026-05-17 10:00:00,62.0544679,12.7950837833333,993.559966966667,1011.16879736041,NA
2026-05-17 11:00:00,63.1145391333333,12.6353213,993.6707825,1011.29151861054,NA
2026-05-17 12:00:00,65.5073963,12.3704575,993.682690333333,1011.32017622581,NA
2026-05-17 13:00:00,78.7126101833333,12.2013245666667,993.502520783333,1011.1478433862,NA
2026-05-17 14:00:00,62.5758260833333,14.0323845,993.197575933333,1010.72347904263,NA
2026-05-17 15:00:00,56.0475046666667,14.7908800166667,993.013972933333,1010.49007544109,NA
2026-05-17 16:00:00,61.7084349333333,13.4035648,993.132100466667,1010.69570815152,NA
2026-05-17 17:00:00,61.2343338833333,12.7828665666667,993.367442766667,1010.97367378984,NA
2026-05-17 18:00:00,67.768276,11.2463867166667,993.610116683333,1011.31660233333,NA
2026-05-17 19:00:00,70.9894554666667,10.1346623333333,993.630274566667,1011.40721409512,NA
2026-05-17 20:00:00,74.7172970833333,9.647239,993.934984466667,1011.74828967381,NA
2026-05-17 21:00:00,81.4369528833333,8.90559526666667,993.888281133333,1011.74799917038,NA
2026-05-17 22:00:00,85.1927788,8.5393589,993.743591433333,1011.6241319832,NA
2026-05-17 23:00:00,87.2855552666667,8.3889664,993.5879171,1011.47529479088,NA
2026-05-18,89.6680499833333,8.00340548333333,993.488555933333,1011.3988868296,NA
2026-05-18 01:00:00,90.6591596833333,7.61887963333333,993.200780233333,1011.13066804911,NA
2026-05-18 02:00:00,91.1868862,7.584218,992.9097993,1010.83666635471,NA
2026-05-18 03:00:00,91.9261716166667,7.67114533333333,992.693681866667,1010.61104631399,NA
2026-05-18 04:00:00,91.6663644333333,7.86888543333333,992.673303266667,1010.57758085413,NA
2026-05-18 05:00:00,91.3507013666667,8.19269876666667,992.866754266667,1010.75372418486,NA
2026-05-18 06:00:00,87.6999195666667,8.5970842,993.175813733333,1011.04246720879,NA
2026-05-18 07:00:00,82.1603451666667,9.50043875,993.476652,1011.29107563847,NA
2026-05-18 08:00:00,79.10453215,10.2303898666667,993.782284516667,1011.55591468474,NA
2026-05-18 09:00:00,74.2434300666667,11.2321582,993.967952566667,1011.68168393531,NA
2026-05-18 10:00:00,72.2935614666667,11.6578793333333,994.0265502,1011.71460907247,NA
2026-05-18 11:00:00,69.7279010666667,12.1905658666667,994.123162966667,1011.77963804617,NA
2026-05-18 12:00:00,70.64966195,12.19245805,994.1412637,1011.79794450567,NA
2026-05-18 13:00:00,69.78402655,13.0397520833333,993.9033976,1011.50311737491,NA
2026-05-18 14:00:00,81.1853886166667,11.7669957666667,994.088141866667,1011.7705710121,NA
2026-05-18 15:00:00,84.86141035,11.8465641333333,993.926976633333,1011.60146505822,NA
2026-05-18 16:00:00,82.4926555666667,12.1643754333333,993.799896366667,1011.45225836506,NA
2026-05-18 17:00:00,77.9037001666667,12.2558321666667,993.827361966667,1011.47450011713,NA
2026-05-18 18:00:00,78.2193157333333,12.0146896,993.78891,1011.45042463004,NA
2026-05-18 19:00:00,84.9527528,11.09020915,993.85506465,1011.57571186032,NA
2026-05-18 20:00:00,88.8379628166667,10.50897145,993.8012715,1011.55758381653,NA
2026-05-18 21:00:00,89.2824388333333,10.0983287333333,993.537536733333,1011.31510160288,NA
2026-05-18 22:00:00,89.4730045166667,9.86529365,993.249546333333,1011.03671952776,NA
2026-05-18 23:00:00,90.2614848833333,9.757006,992.565935266667,1010.34773117791,NA
2026-05-19,93.246573,9.52850388333333,991.697342966667,1009.47806643162,NA
2026-05-19 01:00:00,94.96831745,9.57704448333333,990.7154287,1008.47547245228,NA
2026-05-19 02:00:00,95.27164145,9.83342641666667,989.708559133333,1007.43433686381,NA
2026-05-19 03:00:00,95.3025539666667,10.1955706,989.188649366667,1006.8822710879,NA
2026-05-19 04:00:00,95.4355097666667,10.4790909666667,988.637361666667,1006.30328764836,NA
2026-05-19 05:00:00,95.9298753333333,10.7950275666667,988.251831133333,1005.89104571196,NA
2026-05-19 06:00:00,96.4339792833333,11.2114729833333,988.110577483333,1005.72121595392,NA
2026-05-19 07:00:00,96.8849299833333,11.7055488833333,987.913459366667,1005.48977541834,NA
2026-05-19 08:00:00,96.4886966333333,12.4132758833333,987.7234498,1005.25245274508,NA
2026-05-19 09:00:00,94.3351618,13.0692793666667,987.822566783333,1005.31280977476,NA
2026-05-19 10:00:00,85.2457069166667,14.5075590666667,988.176966333333,1005.58527226087,NA
2026-05-19 11:00:00,81.1484020833333,14.7762913166667,988.466583366667,1005.86356516854,NA
2026-05-19 12:00:00,77.0174556,15.58462495,988.60714515,1005.95744397235,NA
2026-05-19 13:00:00,70.9958885333333,16.7708667666667,988.4704742,1005.74680200906,NA
2026-05-19 14:00:00,69.0671741666667,16.8640899666667,988.4670411,1005.73771123341,NA
2026-05-19 15:00:00,84.2272025,14.9567391,988.737638366667,1006.12847455786,NA
2026-05-19 16:00:00,73.8626253,15.9421417333333,988.809527433333,1006.14175151702,NA
2026-05-19 17:00:00,65.0163405,16.2006048333333,989.133008866667,1006.45525987061,NA
2026-05-19 18:00:00,68.8648092166667,15.2211375333333,989.5673177,1006.95657508269,NA
2026-05-19 19:00:00,81.35460205,13.65868755,989.771759033333,1007.26018191897,NA
2026-05-19 20:00:00,84.40983605,12.936851,990.227107783333,1007.76809154708,NA
2026-05-19 21:00:00,79.8795308,12.63671695,990.79670115,1008.36638076985,NA
2026-05-19 22:00:00,82.3488056666667,12.1476845,991.114013733333,1008.71970963576,NA
2026-05-19 23:00:00,86.2163589333333,11.7846169666667,991.2353629,1008.86583756933,NA
2026-05-20,89.7870404,11.4390341166667,991.745422383333,1009.40658769284,NA
