"datetime","NH3","qc_flag_NH3"
"2022-09-14 03:00:00",2.35502730979178,"1b"
"2022-09-14 04:00:00",2.4407983957246,"1b"
"2022-09-14 05:00:00",2.47412482710519,"1b"
"2022-09-14 06:00:00",2.41077019738274,"1b"
"2022-09-14 07:00:00",2.45769855013873,"1b"
"2022-09-14 08:00:00",2.31471624063281,"1b"
"2022-09-14 09:00:00",2.83136202867333,"1b"
"2022-09-14 10:00:00",3.13305130102692,"1b"
"2022-09-14 11:00:00",3.1559237862892,"1b"
"2022-09-14 12:00:00",3.36484981745767,"1b"
"2022-09-14 13:00:00",3.41831615061043,"1b"
"2022-09-14 14:00:00",3.55687519725229,"1b"
"2022-09-14 15:00:00",3.71853380932556,"1b"
"2022-09-14 16:00:00",3.83470713967814,"1b"
"2022-09-14 17:00:00",3.44920900696642,"1b"
"2022-09-14 18:00:00",2.98692898742714,"1b"
"2022-09-14 19:00:00",2.6647156406909,"1b"
"2022-09-14 20:00:00",2.53384289188889,"1b"
"2022-09-14 21:00:00",2.40984825261184,"1b"
"2022-09-14 22:00:00",2.27879578148972,"1b"
"2022-09-14 23:00:00",2.16689270943795,"1b"
"2022-09-15 00:00:00",2.1157080569188,"1b"
"2022-09-15 01:00:00",2.09207419958241,"1b"
"2022-09-15 02:00:00",2.04286329216699,"1b"
"2022-09-15 03:00:00",1.96017262245678,"1b"
"2022-09-15 04:00:00",1.90222625235936,"1b"
"2022-09-15 05:00:00",1.8232972388508,"1b"
"2022-09-15 06:00:00",1.74167224693141,"1b"
"2022-09-15 07:00:00",1.70890726117571,"1b"
"2022-09-15 08:00:00",1.74315402288773,"1b"
"2022-09-15 09:00:00",1.87987128730655,"1b"
"2022-09-15 10:00:00",2.03784226459911,"1b"
"2022-09-15 11:00:00",2.23142437162765,"1b"
"2022-09-15 12:00:00",2.47822089792442,"1b"
"2022-09-15 13:00:00",2.7659014635869,"1b"
"2022-09-15 14:00:00",2.85914000741121,"1b"
"2022-09-15 15:00:00",2.84860215458079,"1b"
"2022-09-15 16:00:00",2.80125150115128,"1b"
"2022-09-15 17:00:00",2.58156642989167,"1b"
"2022-09-15 18:00:00",2.45822866085515,"1b"
"2022-09-15 19:00:00",2.41379747019204,"1b"
"2022-09-15 20:00:00",2.37659162228755,"1b"
"2022-09-15 21:00:00",2.31085208055413,"1b"
"2022-09-15 22:00:00",2.2319863253951,"1b"
"2022-09-15 23:00:00",2.1159514060218,"1b"
"2022-09-16 00:00:00",2.03217445089919,"1b"
"2022-09-16 01:00:00",1.89944928034805,"1b"
"2022-09-16 02:00:00",1.91901782564447,"1b"
"2022-09-16 03:00:00",1.85053071939042,"1b"
"2022-09-16 04:00:00",1.76672036145918,"1b"
"2022-09-16 05:00:00",1.63249159376875,"1b"
"2022-09-16 06:00:00",1.50337360640473,"1b"
"2022-09-16 07:00:00",1.4147018112048,"1b"
"2022-09-16 08:00:00",1.47332852421578,"1b"
"2022-09-16 09:00:00",1.80522674319091,"1b"
"2022-09-16 10:00:00",1.98856598853172,"1b"
"2022-09-16 11:00:00",2.03654282572707,"1b"
"2022-09-16 12:00:00",2.21191656488705,"1b"
"2022-09-16 13:00:00",2.39083001107671,"1b"
"2022-09-16 14:00:00",2.56248726984697,"1b"
"2022-09-16 15:00:00",2.50834848988583,"1b"
"2022-09-16 16:00:00",2.40693540854383,"1b"
"2022-09-16 17:00:00",2.21464632937584,"1b"
"2022-09-16 18:00:00",2.1723858808596,"1b"
"2022-09-16 19:00:00",2.19072025893554,"1b"
"2022-09-16 20:00:00",2.29964431108658,"1b"
"2022-09-16 21:00:00",2.30858221059715,"1b"
"2022-09-16 22:00:00",2.27065662317714,"1b"
"2022-09-16 23:00:00",2.17751801328402,"1b"
"2022-09-17 00:00:00",2.06219268252343,"1b"
"2022-09-17 01:00:00",1.91430168643976,"1b"
"2022-09-17 02:00:00",1.8172195986938,"1b"
"2022-09-17 03:00:00",1.75229419812708,"1b"
"2022-09-17 04:00:00",1.72816550081543,"1b"
"2022-09-17 05:00:00",1.64623373722699,"1b"
"2022-09-17 06:00:00",1.5918521549888,"1b"
"2022-09-17 07:00:00",1.54057741764888,"1b"
"2022-09-17 08:00:00",1.74850308604266,"1b"
"2022-09-17 09:00:00",2.00679276239297,"1b"
"2022-09-17 10:00:00",2.22114180633502,"1b"
"2022-09-17 11:00:00",2.34993653215845,"1b"
"2022-09-17 12:00:00",2.43483861856903,"1b"
"2022-09-17 13:00:00",2.66432551817878,"1b"
"2022-09-17 14:00:00",3.10534683036934,"1b"
"2022-09-17 15:00:00",3.20131939460727,"1b"
"2022-09-17 16:00:00",3.14334693333241,"1b"
"2022-09-17 17:00:00",3.03493149128782,"1b"
"2022-09-17 18:00:00",2.9494897644571,"1b"
"2022-09-17 19:00:00",2.59987732458322,"1b"
"2022-09-17 20:00:00",2.35250981563682,"1b"
"2022-09-17 21:00:00",2.22930828441143,"1b"
"2022-09-17 22:00:00",2.18342935537141,"1b"
"2022-09-17 23:00:00",2.17149174939113,"1b"
"2022-09-18 00:00:00",2.15367476434795,"1b"
"2022-09-18 01:00:00",2.12733396358635,"1b"
"2022-09-18 02:00:00",2.09349966457034,"1b"
"2022-09-18 03:00:00",2.07003972733427,"1b"
"2022-09-18 04:00:00",1.99611207571311,"1b"
"2022-09-18 05:00:00",1.95210052213025,"1b"
"2022-09-18 06:00:00",1.87020819566771,"1b"
"2022-09-18 07:00:00",1.92120850681803,"1b"
"2022-09-18 08:00:00",2.08575936154707,"1b"
"2022-09-18 09:00:00",2.39243987008954,"1b"
"2022-09-18 10:00:00",2.52439925894049,"1b"
"2022-09-18 11:00:00",2.58082896918776,"1b"
"2022-09-18 12:00:00",2.5310970346135,"1b"
"2022-09-18 13:00:00",2.54734838090914,"1b"
"2022-09-18 14:00:00",2.6188299817629,"1b"
"2022-09-18 15:00:00",2.5147163470053,"1b"
"2022-09-18 16:00:00",2.52646926040981,"1b"
"2022-09-18 17:00:00",2.4085915907071,"1b"
"2022-09-18 18:00:00",2.26687470234568,"1b"
"2022-09-18 19:00:00",2.11742459130102,"1b"
"2022-09-18 20:00:00",2.03243966261963,"1b"
"2022-09-18 21:00:00",1.97546482794526,"1b"
"2022-09-18 22:00:00",2.00444572582171,"1b"
"2022-09-18 23:00:00",1.99290749412504,"1b"
"2022-09-19 00:00:00",2.00221341495349,"1b"
"2022-09-19 01:00:00",1.8534419115841,"1b"
"2022-09-19 02:00:00",1.78495420995657,"1b"
"2022-09-19 03:00:00",1.6475005088348,"1b"
"2022-09-19 04:00:00",1.56090884956227,"1b"
"2022-09-19 05:00:00",1.55217078502089,"1b"
"2022-09-19 06:00:00",1.55282621581676,"1b"
"2022-09-19 07:00:00",1.60371116097828,"1b"
"2022-09-19 08:00:00",1.71628329190134,"1b"
"2022-09-19 09:00:00",1.89896629663524,"1b"
"2022-09-19 10:00:00",1.99000636296919,"1b"
"2022-09-19 11:00:00",1.97574697244324,"1b"
"2022-09-19 12:00:00",1.91568999393637,"1b"
"2022-09-19 13:00:00",2.01382478066953,"1b"
"2022-09-19 14:00:00",2.01900542352606,"1b"
"2022-09-19 15:00:00",1.91909289773711,"1b"
"2022-09-19 16:00:00",1.82028648049275,"1b"
"2022-09-19 17:00:00",1.79373849727338,"1b"
"2022-09-19 18:00:00",1.78717679206966,"1b"
"2022-09-19 19:00:00",1.80708117133526,"1b"
"2022-09-19 20:00:00",1.89355752549971,"1b"
"2022-09-19 21:00:00",1.87364269114624,"1b"
"2022-09-19 22:00:00",1.87755920759779,"1b"
"2022-09-19 23:00:00",1.86372020255428,"1b"
"2022-09-20 00:00:00",2.00692181733267,"1b"
"2022-09-20 01:00:00",2.07418993931391,"1b"
"2022-09-20 02:00:00",1.99751301713545,"1b"
"2022-09-20 03:00:00",1.94242180938644,"1b"
"2022-09-20 04:00:00",1.88981404852096,"1b"
"2022-09-20 05:00:00",1.84110254304186,"1b"
"2022-09-20 06:00:00",1.81132047371379,"1b"
"2022-09-20 07:00:00",1.73765458332252,"1b"
"2022-09-20 08:00:00",1.6653118164546,"1b"
"2022-09-20 09:00:00",1.83252682339518,"1b"
"2022-09-20 10:00:00",2.00562300751007,"1b"
"2022-09-20 11:00:00",2.02329060257119,"1b"
"2022-09-20 12:00:00",2.05008074713269,"1b"
"2022-09-20 13:00:00",2.0772141032112,"1b"
"2022-09-20 14:00:00",2.08728154058419,"1b"
"2022-09-20 15:00:00",2.01744305070718,"1b"
"2022-09-20 16:00:00",2.03436822945398,"1b"
"2022-09-20 17:00:00",2.0825255095375,"1b"
"2022-09-20 18:00:00",2.10103718808286,"1b"
"2022-09-20 19:00:00",2.22866690109785,"1b"
"2022-09-20 20:00:00",2.27736502821097,"1b"
"2022-09-20 21:00:00",2.39568346800899,"1b"
"2022-09-20 22:00:00",2.57256575182181,"1b"
"2022-09-20 23:00:00",2.76218525463252,"1b"
"2022-09-21 00:00:00",2.84904220912125,"1b"
"2022-09-21 01:00:00",2.90813174463227,"1b"
"2022-09-21 02:00:00",2.72113310521135,"1b"
"2022-09-21 03:00:00",2.49070105192177,"1b"
"2022-09-21 04:00:00",2.39265648039058,"1b"
"2022-09-21 05:00:00",2.50701835207137,"1b"
"2022-09-21 06:00:00",2.61236147490945,"1b"
"2022-09-21 07:00:00",2.75679543093645,"1b"
"2022-09-21 08:00:00",2.98276444611111,"1b"
"2022-09-21 09:00:00",3.15784902149639,"1b"
"2022-09-21 10:00:00",3.24270222122466,"1b"
"2022-09-21 11:00:00",3.18687077058824,"1b"
"2022-09-21 12:00:00",3.13717863293415,"1b"
"2022-09-21 13:00:00",3.08027859739638,"1b"
"2022-09-21 14:00:00",2.90615954468481,"1b"
"2022-09-21 15:00:00",2.77592065896158,"1b"
"2022-09-21 16:00:00",2.72570141949275,"1b"
"2022-09-21 17:00:00",2.700596256867,"1b"
"2022-09-21 18:00:00",2.7265194681765,"1b"
"2022-09-21 19:00:00",2.6806200416165,"1b"
"2022-09-21 20:00:00",2.52969050944333,"1b"
"2022-09-21 21:00:00",2.28123680251473,"1b"
"2022-09-21 22:00:00",2.14283953796528,"1b"
"2022-09-21 23:00:00",2.06340872048191,"1b"
"2022-09-22 00:00:00",2.13899393475802,"1b"
"2022-09-22 01:00:00",2.35510453256346,"1b"
"2022-09-22 02:00:00",2.54905027889198,"1b"
"2022-09-22 03:00:00",2.76002184660828,"1b"
