"datetime","SO2","qc_flag_SO2"
"2025-09-05 06:00:00",0.165016666666667,"1b"
"2025-09-05 07:00:00",0.11265625,"1b"
"2025-09-05 08:00:00",0.280333333333333,"1b"
"2025-09-05 09:00:00",0.376283333333333,"1b"
"2025-09-05 10:00:00",0.295816666666667,"1b"
"2025-09-05 11:00:00",0.21995,"1b"
"2025-09-05 12:00:00",0.25445,"1b"
"2025-09-05 13:00:00",0.425116666666667,"1b"
"2025-09-05 14:00:00",0.29305,"1b"
"2025-09-05 15:00:00",0.234633333333333,"1b"
"2025-09-05 16:00:00",0.226666666666667,"1b"
"2025-09-05 17:00:00",0.143881355932203,"1b"
"2025-09-05 18:00:00",0.2251,"1b"
"2025-09-05 19:00:00",0.236516666666667,"1b"
"2025-09-05 20:00:00",0.109833333333333,"1b"
"2025-09-05 21:00:00",0.186474576271186,"1b"
"2025-09-05 22:00:00",0.333766666666667,"1b"
"2025-09-05 23:00:00",0.213181818181818,"1b"
"2025-09-06 00:00:00",0.26148275862069,"1b"
"2025-09-06 01:00:00",0.33948275862069,"1b"
"2025-09-06 02:00:00",0.43465,"1b"
"2025-09-06 03:00:00",0.458283333333333,"1b"
"2025-09-06 04:00:00",0.41275,"1b"
"2025-09-06 05:00:00",0.36655,"1b"
"2025-09-06 06:00:00",0.3495,"1b"
"2025-09-06 07:00:00",0.348516666666667,"1b"
"2025-09-06 08:00:00",0.427183333333333,"1b"
"2025-09-06 09:00:00",0.4125,"1b"
"2025-09-06 10:00:00",0.421683333333333,"1b"
"2025-09-06 11:00:00",0.212577777777778,"1b"
"2025-09-06 12:00:00",NA,"5b"
"2025-09-06 13:00:00",NA,"5b"
"2025-09-06 14:00:00",NA,"5b"
"2025-09-06 15:00:00",NA,"5b"
"2025-09-06 16:00:00",NA,"5b"
"2025-09-06 17:00:00",NA,"5b"
"2025-09-06 18:00:00",NA,"5b"
"2025-09-06 19:00:00",NA,"5b"
"2025-09-06 20:00:00",NA,"5b"
"2025-09-06 21:00:00",NA,"5b"
"2025-09-06 22:00:00",NA,"5b"
"2025-09-06 23:00:00",NA,"5b"
"2025-09-07 00:00:00",NA,"5b"
"2025-09-07 01:00:00",NA,"5b"
"2025-09-07 02:00:00",NA,"5b"
"2025-09-07 03:00:00",NA,"5b"
"2025-09-07 04:00:00",NA,"5b"
"2025-09-07 05:00:00",NA,"5b"
"2025-09-07 06:00:00",NA,"5b"
"2025-09-07 07:00:00",NA,"5b"
"2025-09-07 08:00:00",NA,"5b"
"2025-09-07 09:00:00",NA,"5b"
"2025-09-07 10:00:00",NA,"5b"
"2025-09-07 11:00:00",NA,"5b"
"2025-09-07 12:00:00",NA,"5b"
"2025-09-07 13:00:00",NA,"5b"
"2025-09-07 14:00:00",NA,"5b"
"2025-09-07 15:00:00",NA,"5b"
"2025-09-07 16:00:00",0.870322033898305,"1b"
"2025-09-07 17:00:00",0.648966666666667,"1b"
"2025-09-07 18:00:00",0.413483333333333,"1b"
"2025-09-07 19:00:00",0.225283333333333,"1b"
"2025-09-07 20:00:00",0.256916666666667,"1b"
"2025-09-07 21:00:00",0.16572972972973,"1b"
"2025-09-07 22:00:00",0.092948717948718,"1b"
"2025-09-07 23:00:00",0.13021875,"1b"
"2025-09-08 00:00:00",0.13268,"1b"
"2025-09-08 01:00:00",0.121142857142857,"1b"
"2025-09-08 02:00:00",0.149888888888889,"1b"
"2025-09-08 03:00:00",0.169618181818182,"1b"
"2025-09-08 04:00:00",0.173116666666667,"1b"
"2025-09-08 05:00:00",0.345116666666667,"1b"
"2025-09-08 06:00:00",0.277586206896552,"1b"
"2025-09-08 07:00:00",0.033,"1b"
"2025-09-08 08:00:00",0.196882352941176,"1b"
"2025-09-08 09:00:00",0.214516666666667,"1b"
"2025-09-08 10:00:00",0.41665,"1b"
"2025-09-08 11:00:00",0.22105,"1b"
"2025-09-08 12:00:00",0.304416666666667,"1b"
"2025-09-08 13:00:00",0.207716666666667,"1b"
"2025-09-08 14:00:00",0.346183333333333,"1b"
"2025-09-08 15:00:00",0.223864406779661,"1b"
"2025-09-08 16:00:00",0.195333333333333,"1b"
"2025-09-08 17:00:00",0.2642,"1b"
"2025-09-08 18:00:00",0.132907407407407,"1b"
"2025-09-08 19:00:00",0.3062,"1b"
"2025-09-08 20:00:00",0.195846153846154,"1b"
"2025-09-08 21:00:00",0.212733333333333,"1b"
"2025-09-08 22:00:00",0.279816666666667,"1b"
"2025-09-08 23:00:00",0.2914,"1b"
"2025-09-09 00:00:00",0.201,"1b"
"2025-09-09 01:00:00",0.306344827586207,"1b"
"2025-09-09 02:00:00",0.3079,"1b"
"2025-09-09 03:00:00",0.221766666666667,"1b"
"2025-09-09 04:00:00",0.230283333333333,"1b"
"2025-09-09 05:00:00",0.286183333333333,"1b"
"2025-09-09 06:00:00",0.284766666666667,"1b"
"2025-09-09 07:00:00",0.130655172413793,"1b"
"2025-09-09 08:00:00",0.1364,"1b"
"2025-09-09 09:00:00",0.368266666666667,"1b"
"2025-09-09 10:00:00",0.448466666666667,"1b"
"2025-09-09 11:00:00",0.321883333333333,"1b"
"2025-09-09 12:00:00",0.309633333333333,"1b"
"2025-09-09 13:00:00",0.4719,"1b"
"2025-09-09 14:00:00",0.424433333333333,"1b"
"2025-09-09 15:00:00",0.3206,"1b"
"2025-09-09 16:00:00",0.331916666666667,"1b"
"2025-09-09 17:00:00",0.270433333333333,"1b"
"2025-09-09 18:00:00",0.354083333333333,"1b"
"2025-09-09 19:00:00",0.427216666666667,"1b"
"2025-09-09 20:00:00",0.34075,"1b"
"2025-09-09 21:00:00",0.595033333333333,"1b"
"2025-09-09 22:00:00",0.4741,"1b"
"2025-09-09 23:00:00",0.417483333333333,"1b"
"2025-09-10 00:00:00",0.4415,"1b"
"2025-09-10 01:00:00",0.484068965517241,"1b"
"2025-09-10 02:00:00",0.580483333333333,"1b"
"2025-09-10 03:00:00",0.536633333333333,"1b"
"2025-09-10 04:00:00",0.5355,"1b"
"2025-09-10 05:00:00",0.558216666666667,"1b"
"2025-09-10 06:00:00",0.67445,"1b"
"2025-09-10 07:00:00",0.620433333333333,"1b"
"2025-09-10 08:00:00",0.712466666666667,"1b"
"2025-09-10 09:00:00",0.745966666666667,"1b"
"2025-09-10 10:00:00",0.745,"1b"
"2025-09-10 11:00:00",0.83215,"1b"
"2025-09-10 12:00:00",0.796216666666667,"1b"
"2025-09-10 13:00:00",0.90725,"1b"
"2025-09-10 14:00:00",0.892016666666667,"1b"
"2025-09-10 15:00:00",0.724766666666667,"1b"
"2025-09-10 16:00:00",0.834366666666667,"1b"
"2025-09-10 17:00:00",0.72145,"1b"
"2025-09-10 18:00:00",0.69795,"1b"
"2025-09-10 19:00:00",0.68175,"1b"
"2025-09-10 20:00:00",0.669466666666667,"1b"
"2025-09-10 21:00:00",0.70865,"1b"
"2025-09-10 22:00:00",0.69665,"1b"
"2025-09-10 23:00:00",0.8671,"1b"
"2025-09-11 00:00:00",0.7173,"1b"
"2025-09-11 01:00:00",0.665137931034483,"1b"
"2025-09-11 02:00:00",0.85785,"1b"
"2025-09-11 03:00:00",0.748183333333333,"1b"
"2025-09-11 04:00:00",0.739116666666667,"1b"
"2025-09-11 05:00:00",0.7205,"1b"
"2025-09-11 06:00:00",0.707333333333333,"1b"
"2025-09-11 07:00:00",0.616016666666667,"1b"
"2025-09-11 08:00:00",0.7238,"1b"
"2025-09-11 09:00:00",0.7215,"1b"
"2025-09-11 10:00:00",0.643383333333333,"1b"
"2025-09-11 11:00:00",0.6561,"1b"
"2025-09-11 12:00:00",0.699166666666667,"1b"
"2025-09-11 13:00:00",0.83775,"1b"
"2025-09-11 14:00:00",0.93985,"1b"
"2025-09-11 15:00:00",0.811466666666667,"1b"
"2025-09-11 16:00:00",0.652433333333333,"1b"
"2025-09-11 17:00:00",0.528683333333333,"1b"
"2025-09-11 18:00:00",0.5379,"1b"
"2025-09-11 19:00:00",0.55305,"1b"
"2025-09-11 20:00:00",0.522883333333333,"1b"
"2025-09-11 21:00:00",0.59215,"1b"
"2025-09-11 22:00:00",0.65625,"1b"
"2025-09-11 23:00:00",0.649733333333333,"1b"
"2025-09-12 00:00:00",0.628966666666667,"1b"
"2025-09-12 01:00:00",0.570896551724138,"1b"
"2025-09-12 02:00:00",0.597933333333333,"1b"
"2025-09-12 03:00:00",0.536683333333333,"1b"
"2025-09-12 04:00:00",0.631966666666667,"1b"
"2025-09-12 05:00:00",0.488816666666667,"1b"
"2025-09-12 06:00:00",0.4968,"1b"
"2025-09-12 07:00:00",0.532416666666667,"1b"
"2025-09-12 08:00:00",0.451133333333333,"1b"
"2025-09-12 09:00:00",0.498216666666667,"1b"
"2025-09-12 10:00:00",0.656666666666667,"1b"
"2025-09-12 11:00:00",0.7617,"1b"
"2025-09-12 12:00:00",0.848616666666667,"1b"
"2025-09-12 13:00:00",0.85145,"1b"
"2025-09-12 14:00:00",0.657233333333333,"1b"
"2025-09-12 15:00:00",0.760733333333333,"1b"
"2025-09-12 16:00:00",0.637266666666667,"1b"
"2025-09-12 17:00:00",0.5956,"1b"
"2025-09-12 18:00:00",0.574983333333333,"1b"
"2025-09-12 19:00:00",0.590883333333333,"1b"
"2025-09-12 20:00:00",0.39515,"1b"
"2025-09-12 21:00:00",0.412916666666667,"1b"
"2025-09-12 22:00:00",0.53545,"1b"
"2025-09-12 23:00:00",0.439116666666667,"1b"
"2025-09-13 00:00:00",0.6405,"1b"
"2025-09-13 01:00:00",0.591551724137931,"1b"
"2025-09-13 02:00:00",0.682283333333333,"1b"
"2025-09-13 03:00:00",0.5006,"1b"
"2025-09-13 04:00:00",0.507183333333333,"1b"
"2025-09-13 05:00:00",0.556716666666667,"1b"
"2025-09-13 06:00:00",0.595216666666667,"1b"
"2025-09-13 07:00:00",0.397333333333333,"1b"
"2025-09-13 08:00:00",0.4499,"1b"
"2025-09-13 09:00:00",0.570133333333333,"1b"
"2025-09-13 10:00:00",0.5367,"1b"
"2025-09-13 11:00:00",0.493766666666667,"1b"
"2025-09-13 12:00:00",0.538833333333333,"1b"
"2025-09-13 13:00:00",0.498036363636364,"1b"
"2025-09-13 14:00:00",NA,"5b"
"2025-09-13 15:00:00",NA,"5b"
"2025-09-13 16:00:00",NA,"5b"
"2025-09-13 17:00:00",NA,"5b"
"2025-09-13 18:00:00",NA,"5b"
"2025-09-13 19:00:00",NA,"5b"
"2025-09-13 20:00:00",NA,"5b"
"2025-09-13 21:00:00",NA,"5b"
"2025-09-13 22:00:00",NA,"5b"
"2025-09-13 23:00:00",NA,"5b"
"2025-09-14 00:00:00",NA,"5b"
"2025-09-14 01:00:00",NA,"5b"
"2025-09-14 02:00:00",NA,"5b"
