"datetime","SO2","qc_flag_SO2"
"2024-06-07 07:00:00",0.593433333333333,"1b"
"2024-06-07 08:00:00",0.57765,"1b"
"2024-06-07 09:00:00",0.70225,"1b"
"2024-06-07 10:00:00",0.55915,"1b"
"2024-06-07 11:00:00",0.342416666666667,"1b"
"2024-06-07 12:00:00",0.4019,"1b"
"2024-06-07 13:00:00",0.4327,"1b"
"2024-06-07 14:00:00",0.506016666666667,"1b"
"2024-06-07 15:00:00",0.503033333333333,"1b"
"2024-06-07 16:00:00",0.59805,"1b"
"2024-06-07 17:00:00",0.477866666666667,"1b"
"2024-06-07 18:00:00",0.562866666666667,"1b"
"2024-06-07 19:00:00",0.468866666666667,"1b"
"2024-06-07 20:00:00",0.51545,"1b"
"2024-06-07 21:00:00",0.759366666666667,"1b"
"2024-06-07 22:00:00",0.59065,"1b"
"2024-06-07 23:00:00",0.402366666666667,"1b"
"2024-06-08 00:00:00",0.496135593220339,"1b"
"2024-06-08 01:00:00",0.434783333333333,"1b"
"2024-06-08 02:00:00",0.481383333333333,"1b"
"2024-06-08 03:00:00",0.38435,"1b"
"2024-06-08 04:00:00",0.391133333333333,"1b"
"2024-06-08 05:00:00",0.514766666666667,"1b"
"2024-06-08 06:00:00",0.439283333333333,"1b"
"2024-06-08 07:00:00",0.5667,"1b"
"2024-06-08 08:00:00",0.48525,"1b"
"2024-06-08 09:00:00",0.509833333333333,"1b"
"2024-06-08 10:00:00",0.615983333333333,"1b"
"2024-06-08 11:00:00",0.561483333333333,"1b"
"2024-06-08 12:00:00",0.603216666666667,"1b"
"2024-06-08 13:00:00",0.659483333333333,"1b"
"2024-06-08 14:00:00",0.684433333333333,"1b"
"2024-06-08 15:00:00",0.68625,"1b"
"2024-06-08 16:00:00",0.63735,"1b"
"2024-06-08 17:00:00",0.491766666666667,"1b"
"2024-06-08 18:00:00",0.469966666666667,"1b"
"2024-06-08 19:00:00",0.454383333333333,"1b"
"2024-06-08 20:00:00",0.4251,"1b"
"2024-06-08 21:00:00",0.41385,"1b"
"2024-06-08 22:00:00",0.50625,"1b"
"2024-06-08 23:00:00",0.382583333333333,"1b"
"2024-06-09 00:00:00",0.368616666666667,"1b"
"2024-06-09 01:00:00",0.7325,"1b"
"2024-06-09 02:00:00",0.467333333333333,"1b"
"2024-06-09 03:00:00",0.460166666666667,"1b"
"2024-06-09 04:00:00",0.489066666666667,"1b"
"2024-06-09 05:00:00",0.481216666666667,"1b"
"2024-06-09 06:00:00",0.688933333333333,"1b"
"2024-06-09 07:00:00",0.7321,"1b"
"2024-06-09 08:00:00",0.6219,"1b"
"2024-06-09 09:00:00",0.5406,"1b"
"2024-06-09 10:00:00",0.574966666666667,"1b"
"2024-06-09 11:00:00",0.56345,"1b"
"2024-06-09 12:00:00",0.613516666666667,"1b"
"2024-06-09 13:00:00",0.576483333333333,"1b"
"2024-06-09 14:00:00",0.417406779661017,"1b"
"2024-06-09 15:00:00",0.6127,"1b"
"2024-06-09 16:00:00",0.642266666666667,"1b"
"2024-06-09 17:00:00",0.491583333333333,"1b"
"2024-06-09 18:00:00",0.540033333333333,"1b"
"2024-06-09 19:00:00",0.5281,"1b"
"2024-06-09 20:00:00",0.704833333333333,"1b"
"2024-06-09 21:00:00",0.637933333333333,"1b"
"2024-06-09 22:00:00",0.5484,"1b"
"2024-06-09 23:00:00",0.6431,"1b"
"2024-06-10 00:00:00",0.653433333333333,"1b"
"2024-06-10 01:00:00",0.803966666666667,"1b"
"2024-06-10 02:00:00",0.738083333333333,"1b"
"2024-06-10 03:00:00",0.570683333333333,"1b"
"2024-06-10 04:00:00",0.6249,"1b"
"2024-06-10 05:00:00",0.488416666666667,"1b"
"2024-06-10 06:00:00",0.41055,"1b"
"2024-06-10 07:00:00",0.521833333333333,"1b"
"2024-06-10 08:00:00",0.706516666666667,"1b"
"2024-06-10 09:00:00",0.78935,"1b"
"2024-06-10 10:00:00",0.790633333333333,"1b"
"2024-06-10 11:00:00",0.613233333333333,"1b"
"2024-06-10 12:00:00",0.425816666666667,"1b"
"2024-06-10 13:00:00",0.38035,"1b"
"2024-06-10 14:00:00",0.68835593220339,"1b"
"2024-06-10 15:00:00",0.658633333333333,"1b"
"2024-06-10 16:00:00",0.73225,"1b"
"2024-06-10 17:00:00",0.557866666666667,"1b"
"2024-06-10 18:00:00",0.450966666666667,"1b"
"2024-06-10 19:00:00",0.477116666666667,"1b"
"2024-06-10 20:00:00",0.549083333333333,"1b"
"2024-06-10 21:00:00",0.326116666666667,"1b"
"2024-06-10 22:00:00",0.248883333333333,"1b"
