"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-14,0.584783333333333,0.5677,0.534883333333333,0.518833333333333,0.482366666666667,0.48255,0.484366666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 01:00:00,0.70435,0.704033333333333,0.666316666666667,0.653433333333333,0.610316666666667,0.623366666666667,0.628233333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 02:00:00,0.281483333333333,0.27595,0.261766666666667,0.255983333333333,0.234583333333333,0.237516666666667,0.236283333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 03:00:00,0.241466666666667,0.242283333333333,0.232416666666667,0.226816666666667,0.208566666666667,0.21185,0.207983333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 04:00:00,0.375983333333333,0.38,0.363283333333333,0.3572,0.33025,0.339183333333333,0.33845,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 05:00:00,0.601683333333333,0.605516666666667,0.578866666666667,0.569483333333333,0.5322,0.544416666666667,0.548316666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 06:00:00,0.995316666666667,1.03325,0.995716666666667,0.987616666666667,0.928516666666667,0.9555,0.967083333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 07:00:00,1.08588333333333,1.0863,1.03643333333333,1.0188,0.950666666666667,0.9631,0.971633333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 08:00:00,0.7876,0.81515,0.783416666666667,0.771766666666667,0.722533333333333,0.728033333333333,0.735883333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 09:00:00,0.637533333333333,0.656266666666667,0.6259,0.61285,0.574816666666667,0.572,0.5787,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 10:00:00,0.573833333333333,0.573816666666667,0.544733333333333,0.532033333333333,0.496616666666667,0.488133333333333,0.494833333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 11:00:00,0.643035714285714,0.553160714285714,0.523928571428571,0.513535714285714,0.485285714285714,0.465017857142857,0.473642857142857,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 12:00:00,0.6567,0.575683333333333,0.531066666666667,0.5169,0.493583333333333,0.46655,0.47075,"1b","1b","1b","1b","1b","1b","1b"
